122,575,171,51,376,6,311,45,562,401,607,73,259,475,274,490,302,200,334,250,83,453,22,436,48,416,37,249,14,67,169,8,464,77,29,192,28,329,594,606,125,112,474,128,70,279,237,552,85,420
0,7512,25162,22456,21056,23969,7009,15553,8174,22679,16839,19752,27524,16669,24454,26844,18160,16360,23577,8142,23654,10401,7196,28060,18432,31789,12299,24798,23209,5317,15322,16779,29909,14405,6678,22763,24672,14212,16613,11508,10380,14791,9913,14330,15946,28315,6712,26103,22242,29547
7704,0,20473,17104,18803,19295,9924,10031,868,19675,11317,14674,22851,10587,19780,21322,14599,12004,19123,7504,18301,5260,3971,22538,13079,26267,6777,20124,19320,3554,10949,11258,24387,8884,8283,18090,19999,11196,11091,5603,6820,10337,3967,9199,10424,23642,7632,20581,16890,24025
25201,20757,0,4992,13626,3750,24126,11149,20770,11015,11246,6832,4837,17581,5733,8239,13759,11212,6493,20803,3548,25426,18847,10389,8943,13681,14683,3867,8976,20539,10680,16855,10707,12732,27425,4298,5315,17437,11831,16153,15184,10761,24001,12101,10829,5972,22042,5695,4559,11876
22373,17169,5034,0,16195,5631,21298,7514,17182,14115,7187,2774,8378,13356,7558,7047,11125,8578,9593,17974,1911,21839,16018,9198,4885,12490,11096,6803,12076,17711,8045,12523,9516,9145,24166,4291,7777,14802,7499,12518,12356,7933,20413,8888,7193,9513,19214,4336,1116,10685
20479,18988,14209,16356,0,12162,14566,11930,19179,3004,12777,13775,14416,17746,10770,20628,5289,8094,8026,13586,15938,23657,15627,22779,12853,26071,13785,11039,6123,17743,9341,17091,23097,11834,24417,13056,10301,8189,13229,15307,13742,9740,22365,11080,11342,14902,14489,18084,16045,24266
24057,19735,4041,5567,11768,0,22888,10293,19749,9157,10564,6355,4386,16725,3875,10460,11685,9815,4635,19659,5769,24405,17702,12610,8447,15902,13662,2010,7118,19395,9535,16070,12928,11711,26281,1913,3458,16049,11056,15183,14040,9617,22979,10956,9973,4960,20898,7916,4687,14097
6681,9741,23938,21233,14965,22485,0,14789,9932,16588,16083,18529,26040,16711,21211,26240,12439,13334,19973,4118,22431,14411,7236,27508,17209,31236,11766,23120,17488,7734,14099,16247,29357,13641,11293,21279,21429,8122,16080,10975,9676,13568,13118,13107,14806,26831,2692,24896,21019,28995
15459,10067,11639,7698,11765,10544,14983,0,10081,11558,1675,5269,14099,6474,11033,12154,6695,3902,11006,11660,8896,14737,9416,13423,3674,17151,3961,11372,11204,10797,2877,5819,15272,2543,17064,9338,11251,9875,1909,5046,5325,2220,13311,2704,1102,14890,12899,10948,7484,14909
8361,1019,20387,17017,18941,19209,10062,9945,0,19588,11231,14588,22764,10500,19694,21236,14591,11917,19036,7641,18215,5124,4108,22452,12993,26180,6691,20038,19233,4211,10862,11171,24301,8797,8940,18003,19912,11334,11004,5517,6755,10250,3684,9113,10338,23555,7770,20494,16803,23939
22108,19734,11401,14117,2809,9354,16195,11805,19747,0,12652,13650,11608,17621,7961,17820,5164,7969,5217,15215,13130,24403,16654,19971,12727,23262,13660,8230,3315,18548,9216,16966,20289,11709,25434,10248,7492,9818,13104,15182,13617,9615,22978,10955,11217,12094,16118,15276,13237,21458
16630,11239,11103,7089,12592,10533,16085,1343,11252,12385,0,4660,13599,6810,11145,11022,7522,4728,11165,12762,8287,15712,10587,12267,3065,15996,5132,11484,12030,11968,3704,5977,14116,3484,18235,9194,11363,10713,953,6217,6496,3047,14074,3530,1420,14734,14001,9900,6875,13754
19833,14630,7611,3433,13772,7042,18758,4974,14643,13565,4648,0,10108,11090,8969,9949,8702,6155,10640,15435,4631,19299,13479,12099,2345,15391,8556,8214,13210,15171,5623,10257,12417,6605,21626,5702,9187,12380,5233,9978,9816,5393,17874,6349,4654,11243,16674,7115,3219,13586
26943,22621,4949,8384,13304,4001,25499,13330,22634,10693,13600,9391,0,19761,5431,10656,13542,12700,6171,22544,6940,27290,20588,13577,11484,15705,16547,3765,8654,22280,12421,19106,12652,14596,29166,4949,5013,18660,14092,18069,16925,12502,25865,13842,13009,1638,23783,8899,7723,15064
16915,10948,17407,13303,17721,16824,16809,6571,10666,17514,6891,10964,19903,0,17313,16405,12651,9858,16962,13486,14590,10367,10872,17621,9388,21349,6238,17653,17159,12253,8833,2337,19470,7620,17669,15498,17531,14206,6174,6054,8234,8176,8729,8047,7383,21038,14726,15686,13179,19108
23765,19443,6291,7131,10814,3434,21992,10406,19456,8203,10952,7919,6498,16838,0,12710,10789,8919,3681,19366,7795,24112,17410,14861,9437,18152,13369,3103,6164,19103,9231,16183,15179,11418,25988,3303,780,15152,11404,14891,13747,9324,22687,10664,10086,6984,20605,10166,6251,16348
26798,21305,7942,6738,20074,10199,25831,11512,21318,17463,10377,9315,10589,16362,12182,0,16684,14011,12942,22508,6189,25264,20551,3343,9744,6654,15300,10316,15425,22136,13211,15529,3675,13437,28301,10747,11764,20236,10505,16150,16664,12555,23626,13276,11427,11700,23747,2753,7691,4830
18030,14691,13545,11284,5348,11518,12642,6858,14800,5141,7705,8703,14385,12674,10038,17144,0,3022,7995,11331,12482,19361,11552,18412,7780,22140,8713,11008,5467,13446,4269,12019,20261,6762,20332,10312,10256,5673,8157,10235,8670,4668,18031,6008,6270,14871,12565,15374,11031,19899
16268,12014,11141,8665,8357,9491,13401,4085,12027,8150,4932,5992,13046,9901,8609,14371,3287,0,7371,11870,9863,16684,9913,15639,5008,19368,5941,10320,7795,11606,1496,9246,17488,3990,18492,8285,8827,6562,5384,7462,6251,1896,15258,3186,3497,13837,13109,12718,8412,17126
23579,19325,6823,9064,7801,4776,19661,11397,19339,5190,12243,9852,7030,17212,3384,13242,8039,7397,0,18349,8552,23995,17225,15393,11208,18685,13252,3653,3152,18917,8808,16557,15711,11301,25803,5288,2915,12821,12696,14773,13562,9207,22569,10497,10808,7516,19583,10698,8184,16880
