148,177,58,33,201,245,102,535,28,294,117,348,434,622,497,80,286,313,260,8,614,563,384,385,350
0,9486,8775,16922,3083,16430,8485,7859,8292,9233,2357,9162,15690,2999,15401,15751,5859,14419,4530,9225,6213,5387,10481,11544,10746
9586,0,3807,26281,12179,25789,2754,7988,5936,18329,11717,13840,24927,9764,24638,25110,9071,23779,11318,17191,15153,11980,17099,11268,9251
8730,4020,0,25232,11323,24740,1456,4655,7079,17473,10283,14983,23118,7648,22829,24060,10214,22729,11319,15075,13296,9675,18242,12411,10394
17044,26263,25323,0,16265,5904,25263,23422,25153,15408,15537,22345,14669,18517,8808,1813,22146,9361,19545,17260,13070,18314,20345,24674,24743
2950,12201,11491,16198,0,15706,11201,10683,9602,6319,2792,7831,15218,5631,15020,15027,6234,11935,3634,9667,5832,7011,9066,10213,9962
16502,25721,24780,5881,15722,0,24720,23273,24611,11157,14995,18268,16239,17975,11642,5032,21421,5373,18821,17270,13079,18323,16268,20597,21901
8554,3585,1833,25249,11146,24757,0,6014,6362,17297,10635,14266,23470,8000,23181,24078,9497,22747,10310,15427,13648,10216,17525,11694,9677
7708,8159,4719,23414,10514,23030,5961,0,11583,16664,8440,16472,21011,5341,20722,22243,12422,21020,11093,11565,10921,5419,17790,16916,14899
8036,6442,7473,24720,9845,24228,6420,11654,0,15920,10155,9939,23488,10187,23199,23548,5170,21536,7668,16558,14011,12568,13198,7368,5350
9157,18408,17697,15474,6357,11453,17408,16889,15136,0,8998,8419,15492,11837,14960,14303,11768,7413,9167,14064,9295,12770,6420,10749,11623
2406,11613,10210,15636,2846,15144,10284,8474,10518,8987,0,8925,13352,3372,13063,14465,7571,13133,4971,6894,3875,4238,10244,11307,11056
8802,14156,15187,22162,7314,17771,14134,16535,9627,8501,8644,0,21807,11483,21688,20753,9702,13731,7807,15538,12500,12882,4207,3801,5519
14806,24012,22408,15826,14549,16023,22483,20338,22917,15118,12963,21483,0,15475,8164,14655,20129,15632,17529,14176,9986,15230,20605,23865,23614
3135,9934,7686,18495,5504,18003,7760,5544,10433,11655,3546,11583,16351,0,16062,17324,7999,15992,6671,7519,6159,2572,12902,13965,12887
15172,24379,22774,9527,14915,11478,22849,20704,23283,14651,13329,21849,7855,15841,0,8356,20495,12391,17895,13356,10352,15596,20139,24231,23980
15841,25060,24120,1713,15062,5070,24060,22219,23951,14172,14334,21142,13676,17315,7815,0,20943,7953,18342,16058,11867,17112,19142,23471,23540
7221,9104,10135,22180,6191,20890,9083,14119,3654,11235,7684,9763,21016,9372,20727,21009,0,16850,2809,14578,11539,11781,12395,7191,5174
14583,23802,22862,9592,11829,5589,22802,21355,20608,6975,13076,14086,15963,16057,12959,8155,17240,0,14639,15490,11300,16544,12086,16415,17720
4897,11736,12410,19641,3651,18350,11715,11893,6286,8695,5144,8537,18477,7048,18188,18470,2918,14311,0,12039,9000,9383,9856,9472,7455
9126,17243,14995,17728,9719,17825,15069,11718,16931,13985,7425,15803,13656,7331,12148,16557,14449,15907,11849,0,5277,6610,17122,18185,17934
6247,15061,12885,13010,6225,13107,12959,10727,14052,9636,4546,12924,10709,5624,10420,11839,11570,11189,8970,4978,0,5666,13773,15306,15055
5432,12443,9982,18788,6894,18884,10269,5524,12879,12795,4599,12977,16160,2586,15871,17617,10445,16941,9023,6714,6337,0,14296,15359,15108
10033,17398,18420,19792,8520,15401,17376,17766,12869,6131,9875,4237,20468,12714,20076,18384,11639,11362,9038,16770,13166,14113,0,6239,8761
11398,12092,13123,24190,9910,19799,12070,17304,7563,10529,11240,3707,24403,14079,24284,22782,7639,15760,9977,18135,15096,15478,6048,0,3618
11034,9004,10035,24787,9546,21949,8983,14216,4475,11820,10876,5517,24209,13612,23920,23615,4551,17909,6889,17770,14732,15114,8776,3080,0
